iteration	energy	residual_norm	L2-error	H1-error
3530	-7.336311e+01	2.596643e-04	1.765748e-02	1.121824e-01
3540	-7.336320e+01	4.749126e-02	1.721636e-02	1.125642e-01
3550	-7.336321e+01	9.034388e-03	1.720560e-02	1.126415e-01
3560	-7.336325e+01	3.311709e-04	1.735369e-02	1.131113e-01
3570	-7.336325e+01	2.157961e-02	1.736829e-02	1.131408e-01
3580	-7.336325e+01	2.119299e-04	1.736862e-02	1.131445e-01
3590	-7.336331e+01	6.862958e-03	1.728328e-02	1.125557e-01
3600	-7.336331e+01	4.143957e-03	1.737019e-02	1.125835e-01
3610	-7.336331e+01	5.528816e-01	1.772809e-02	1.127602e-01
3620	-7.336332e+01	6.677561e-04	1.753712e-02	1.129319e-01
3630	-7.336333e+01	1.126087e-03	1.754983e-02	1.128545e-01
3640	-7.336333e+01	1.562755e-02	1.741519e-02	1.127349e-01
3650	-7.336333e+01	5.110158e-04	1.740806e-02	1.127240e-01
3660	-7.336333e+01	2.439102e-04	1.733589e-02	1.125638e-01
3670	-7.336333e+01	9.617107e-03	1.732852e-02	1.125542e-01
3680	-7.336333e+01	6.777468e-02	1.700051e-02	1.124098e-01
3690	-7.336340e+01	1.847512e-02	1.713453e-02	1.118129e-01
3700	-7.336340e+01	5.926378e-05	1.714625e-02	1.118125e-01
3710	-7.336340e+01	3.445070e-02	1.719203e-02	1.118526e-01
3720	-7.336340e+01	5.361921e-04	1.719566e-02	1.118578e-01
3730	-7.336340e+01	5.505590e-04	1.718708e-02	1.118563e-01
3740	-7.336341e+01	1.096290e-01	1.723453e-02	1.119312e-01
3750	-7.336341e+01	1.285125e-04	1.719798e-02	1.119305e-01
3760	-7.336341e+01	9.538553e-04	1.769788e-02	1.123168e-01
3770	-7.336341e+01	2.578074e-02	1.732085e-02	1.123630e-01
3780	-7.336341e+01	1.916889e-04	1.730629e-02	1.123666e-01
3790	-7.336341e+01	6.252400e-04	1.731811e-02	1.124653e-01
3800	-7.336341e+01	5.842390e-05	1.731603e-02	1.124684e-01
